1,1,1,Hache en silex,"Pierre forte, coupée par nos mains, pour chasser et protéger. Elle fend bois et bête, garde tribu en sécurité.","1,5",-3500,15,,
2,2,2,Collier en os et dents de loup,"Collier de victoire, dents de loup pour montrer force. Porté pour rappeler courage et survie face à la bête.","0,8",-3480,30,,
3,3,3,Cape en peau de bison,"Peau de bison, forte contre vent et froid. Chaude pour les nuits, protège corps et os dans les plaines.",2,-3475,8,,
4,3,4,Pot en argile cuite,"Mains d'anciens façonnent argile. Pot garde grain et eau, essentiel pour vie sédentaire de tribu.",1,-3460,20,,
5,1,5,Lance en bois avec pointe en pierre,"Bois et pierre, assemblés pour défendre et chasser. Arme de choix pour guerrier de tribu.","1,2",-3440,25,,
6,3,6,Flûte en os,"Os transformé en chant. Flûte appelle esprits, unit tribu sous étoiles et feu.","0,7",-3430,40,,
7,3,7,Sac en peau de chèvre,"Sac de peau pour porter fruits de terre, trouvailles de voyage. Fort pour grandes migrations.","0,9",-3470,10,,
8,2,3,Peinture rupestre sur plaque de pierre,"Pierre et bois, outils pour faire feu. Feu pour nuit et froid, cadeau des esprits à tribu.","2,5",-3485,5,,
9,1,5,Kit d'allumage de feu,"Ivoire de mammouth, sculpté en bijoux. Raconte grandeur de chasse, montre force de tribu face aux géants.","0,5",-3490,50,,
10,2,2,Réplique de bijoux en ivoire de mammouth,Ces bijouxfaçonnés dans l'ivoire de mammouthracontent l'histoire de notre domination sur les géants de la glace.,3,-3500,12,,
11,4,8,Amphore en céramique,"Œuvre exquise de notre céramique, créée pour les libations sacrées lors de festivités grandioses. Chaque amphore est une compagne fidèle dans les cérémonies où le vin coule en abondance.",25,-450,15,,
12,4,9,Tunique en lin,"Légère comme la brise d'été, cette tunique de lin finement tissée capture l'essence de la beauté athénienne. Idéale pour les réunions en plein air, elle est le vêtement préféré des citoyens érudits et éloquents.",20,-440,20,,
13,6,8,Lampe à huile en terre cuite,"Forgée de la terre bénie de notre cité, cette lampe dispense la lumière d'Hestia au sein de chaque demeure. Son éclat guide les prières nocturnes et illumine les passages des temples sacrés.","7,5",-430,22,,
14,5,10,Statuette de déesse en bronze,"Sculptée pour faire honneur aux soldats qui protègent notre cité, cette statuette en bronze est l'incarnation même de la majesté. Elle trône au cœur des foyers comme gardienne de notre héritage.",50,-440,8,,
15,4,11,Collier en perles de verre,"Ce collier, où chaque perle soufflée capture l'éther du ciel et l'abysse de la mer, est une parure de noblesse. Porté par les élites, il reflète la lumière des astres et l'opulence de notre culture.","12,5",-450,18,,
16,4,12,Sandales en cuir,"Ciselées pour les sages, ces sandales en cuir sont taillées pour arpenter les avenues de marbre. Elles sont le choix des poètes qui chantent nos exploits et des philosophes qui méditent sur les vérités éternelles.",15,-455,25,,
17,5,13,Couronne de laurier en métal doré,"Symbole de triomphe et de gloire, cette couronne de laurier est accordée par Apollon aux conquérants. Elle couronne les têtes des héros, récompensant leurs victoires et célébrant leur ascension vers l'immortalité.",30,-460,5,,
18,5,11,Fresque murale portable,"Une fresque vibrante qui transporte les légendes de notre peuple à travers les âges. Portative, elle permet de diffuser les récits mythiques et les enseignements des ancêtres, enrichissant chaque génération nouvelle.",60,-470,4,,
19,6,13,Parchemin écrit à la main,"Inscrit avec soin par les scribes les plus érudits, ce parchemin détient les lois et la sagesse de notre cité. Il est un trésor de connaissances, une relique sacrée portant les mots des grands penseurs et des législateurs.","22,5",-475,9,,
20,6,14,Gladius (épée romaine),"Forge dans les flammes de Vulcain, ce gladius est le fidèle compagnon du légionnaire romain. Trempé pour résister aux rigueurs du combat, il est un symbole de la puissance et de la résolution de Rome, garantissant la victoire sur les champs de bataille.",75,-100,10,,
21,7,15,Épée longue en acier forgé,"Au cœur du brasier de notre forge, naît cette épée, symbole de la vaillance et de l'honneur chevaleresque. Sa lame, aiguisée et fidèle, est prête à défendre la justice et à servir le bras des preux.",250,1250,6,,
22,8,16,Broche en argent ciselé ,"Par l'habileté de nos orfèvres, cette broche d'argent s'orne de délicats motifs, capturant la lumière des bougies en nos halls. Elle scintille, telle une étoile au firmament, lors des festins et des bals.",35,1260,15,,
23,8,17,Robe médiévale en laine,"Tissée par les mains vertueuses des femmes de notre village, cette robe drapée de laine est l'apanage des dames de haute lignée. Ornée de fines broderies, elle raconte les sagas de nos ancêtres, tissées en fils d'or et d'argent.",90,1275,12,,
24,7,18,Casque de chevalier,"Forgé dans le fer robuste et bénit par les prières de nos forgerons, ce heaume est le sanctuaire du guerrier. Il a vu maintes joutes et a trempé dans le sang des batailles, un rempart contre les flèches de la fortune.",150,1300,7,,
25,8,19,Chope en étain gravé,"Gravée de blasons nobles, cette chope d'étain voyage de main en main lors des longues veillées. Compagne des récits épiques, elle est le gobelet des héros, témoin de serments et de toasts.",25,1285,30,,
26,7,18,Bouclier en bois et cuir,"Ce bouclier, fidèle gardien du chevalier, est bâti de bois solide et bardé de cuir. Il a paré maints coups et protégé les valeureux dans l'ardeur des combats, son écu est blason de courage.",100,1295,9,,
27,9,20,Manuscrit enluminé,"En ces pages se dévoile le savoir ancestral, chaque feuille richement enluminée par les moines érudits de notre abbaye. Cet ouvrage est un trésor de connaissance, un pont entre le divin et le terrestre.",400,1260,5,,
28,8,16,Cape en laine brodée,"Cette cape, tissée dans la plus fine laine et brodée de symboles de notre héritage, enveloppe le noble dans les brumes du matin. Elle est à la fois bouclier contre le froid et étendard de son rang.",120,1270,14,,
29,9,21,Herbier de plantes médicinales,"Compilé avec soin par la sage femme de notre village, cet herbier recèle le pouvoir des herbes guérisseuses. Chaque plante est cueillie sous un signe favorable, un remède contre les maux du corps et de l'esprit.",50,1300,20,,
30,9,19,Luth en bois,"Ciselé avec passion, ce luth est l'âme de la ménestrelle, éveillant les cœurs endormis et les esprits mélancoliques. Ses cordes chantent les louanges des héros et les lamentations des amants perdus.",70,1255,15,,
31,10,21,Globe terrestre décoratif,"Ce globe, peint avec une finesse exquise à la main, révèle les continents et les vastes océans. Il sert non seulement d'instrument pour les érudits mais aussi d'ornement majestueux dans les salons des nobles, où il inspire admiration et conversation.",600,1550,10,,
32,11,22,Portrait peint à l'huile,"Peint avec une attention méticuleuse aux détails, ce portrait ne capte pas seulement le visage mais aussi l'âme de son sujet, reflétant les idéaux de beauté et d'expression propres à notre glorieuse Renaissance.",1000,1530,3,,
33,12,23,Robe en soie brodée,"Cette robe, en soie aussi douce que le souffle d'un ange, est ornée de broderies fines illustrant les floraisons du printemps italien. Elle est la quintessence de l'élégance et du raffinement, digne des plus gracieuses dames de la cour.",700,1520,5,,
34,10,21,Astrolabe en laiton,"Cet instrument précieux, forgé en laiton, a guidé les navigateurs audacieux vers des terres inexplorées, illustrant la puissance de l'ingéniosité humaine et notre quête incessante de connaissance.",500,1535,12,,
35,11,24,Collier en or et émeraude,"Ce collier, où l'or le plus pur rencontre la brillance des émeraudes, est le symbole du luxe et du pouvoir. Porté par les plus grands de notre temps, il est un témoignage de richesse et de majesté incontestées.",900,1540,4,,
36,11,25,Livres imprimés de poésie,"En ces volumes, la prose des poètes de notre ère s'épanouit, capturant l'essence même des passions et des contemplations humaines. Chaque livre, imprimé avec un soin méticuleux, est un véritable trésor pour l'esprit et l'âme, enrichissant tous ceux qui les parcourent.",300,1530,20,,
37,12,23,Canne à pommeau sculpté,"Ornée d'un pommeau finement sculpté, cette canne fusionne fonctionnalité et art. Chaque détail du pommeau raconte une histoire de puissance et de prestige, destinée à reposer dans les mains des nobles, affirmant leur statut élevé.",240,1545,8,,
38,12,26,Chapeau en velours avec plume,"Ce chapeau en velours, surmonté d'une plume imposante, est le symbole du raffinement de la Renaissance. Adopté par les élites, il déclare un statut social et un style sans égal, reflétant l'opulence de notre époque.",150,1555,10,,
39,12,19,Viole de gambe (instrument à cordes),"Avec ses cordes harmonieuses, la viole de gambe charme les mélomanes de notre ère. Son timbre riche et profond séduit et enchante dans les salles ornées de nos palais, célébrant la richesse musicale de la Renaissance.",360,1560,6,,
40,11,26,Ensemble d'échecs en ivoire et bois,"Façonné dans l'ivoire et le bois précieux, cet ensemble d'échecs n'est pas seulement un jeu mais une véritable œuvre d'art. Chaque pièce, sculptée avec perfection, représente les dignitaires de la cour royale, invitant à un duel intellectuel aussi élégant qu'aristocratique.",400,1570,5,,
41,15,28,Montre de poche en or,"Un véritable joyau d'horlogerie, cette montre en or incrustée est le summum de l'élégance et de la précision. Essentielle pour tout gentleman désirant mesurer le temps avec raffinement et distinction.",250,1890,4,,
42,15,29,Chapeau haut-de-forme en feutre,"Indispensable à l'ensemble de tout gentleman, ce chapeau haut-de-forme en feutre, d'une finesse remarquable, rehausse l'apparence avec une majesté inégalée.",15,1865,20,,
43,15,30,Manteau en tweed,"Conçu pour les matinées fraîches d'Angleterre, ce manteau en tweed robuste allie fonctionnalité et élégance, une pièce maîtresse pour toute garde-robe distinguée.",50,1880,15,,
44,14,31,Lanterne à huile en cuivre,"Cette lanterne en cuivre, ornée de motifs délicatement gravés, éclaire les ruelles sombres, apportant lumière et sécurité, un indispensable pour les noctambules de la ville.",30,1870,25,,
45,13,32,Machine à écrire portable,"Révolutionnaire, cette machine à écrire portable permet aux auteurs de saisir leurs pensées en tout lieu et à tout moment, un complice pour l'expression littéraire en cette ère d'innovation.",100,1895,18,,
46,13,32,Bicyclette Penny-farthing,"Emblème de l'innovation technique du 19e siècle, le Penny-farthing, avec sa roue avant imposante, promet une expérience de cyclisme exaltante et distinguée à travers les avenues citadines.",120,1885,10,,
47,14,33,Ensemble de thé en porcelaine,"Peint à la main avec une grâce raffinée, cet ensemble de thé en porcelaine est parfait pour les réceptions de l'après-midi, où la détente se marie avec des conversations cultivées.",60,1875,22,,
48,13,34,Carte du monde encadrée,"Cette carte, méticuleusement encadrée, détaille les découvertes géographiques récentes, invitant les esprits curieux à explorer le monde connu et ses mystères encore cachés.",25,1850,12,,
49,14,34,Jumelles en cuir et laiton,"Ces jumelles, conçues pour l'explorateur moderne, offrent une vue claire et précise des horizons lointains, ouvrant des fenêtres sur des mondes nouveaux et des possibilités sans fin.",45,1860,15,,
50,15,35,Canevas brodé,"Ce canevas, brodé avec une minutie exemplaire, raconte des légendes du folklore, chaque point coloré capturant les traditions et les récits de notre riche héritage culturel.",40,1840,20,,
51,16,36,Smartwatch holographique,"Explorez les dimensions avancées de la connectivité avec cette montre intelligente révolutionnaire, projetant des informations en hologrammes 3D. Idéale pour naviguer dans un monde dynamique et en constante mutation.",2500,2045,30,,
52,16,37,Lunettes de réalité augmentée,"Ces lunettes, au design minimaliste, fusionnent les données virtuelles avec le monde réel, ouvrant des panoramas inédits de perception et d'interaction. Plongez dans une réalité augmentée sans précédent.",2250,2040,25,,
53,18,38,Combinaison spatiale légère,"Conçue pour l'ère de l'exploration interstellaire, cette combinaison spatiale ultralégère et résistante définit le nouveau standard pour les frontières cosmiques. Préparez-vous à conquérir l'espace avec une technologie qui dépasse l'imaginable.",4000,2050,8,,
54,16,39,Drone personnel de transport,"Réinventez vos déplacements avec ce drone personnel, alliant vitesse, sécurité et une esthétique hors du commun. Transformez chaque voyage en une expérience fluide et stylée.",5000,2055,5,,
55,16,40,Panneau de commande domestique intelligent,"Au cœur de la maison connectée, ce panneau de commande intelligent orchestre tous vos appareils domestiques avec une efficacité et une intuitivité sans égales. Gérez votre espace de vie avec une précision futuriste.",1500,2048,15,,
56,18,41,Kit de jardinage hydroponique,"Cultivez l'avenir avec ce kit hydroponique, exploitant des technologies avancées pour un développement rapide et sain de vos plantes. Un jardin futuriste à votre portée, combinant écologie et performance.",1750,2052,12,,
57,17,39,Robot assistant domestique,"Votre nouveau compagnon quotidien, ce robot assistant utilise l'intelligence artificielle pour améliorer votre quotidien de manière proactive. Découvrez l'assistance personnalisée à l'ère de l'automatisation.",4500,2050,6,,
58,18,40,Chargeur solaire portable,"Ce chargeur solaire portable, à la fois écologique et efficace, vous permet de recharger vos appareils où que vous soyez, utilisant uniquement l'énergie solaire. Une solution durable pour une mobilité totale.",750,2047,20,,
59,17,38,Lampe LED à contrôle gestuel,"Contrôlez l'illumination de votre environnement avec cette lampe LED révolutionnaire. Ajustez l'éclairage par de simples gestes, sans contact, pour une ambiance totalement adaptée à vos besoins.",600,2046,25,,
60,17,42,Casque de musique à conduction osseuse,"Révolutionnez votre manière d'écouter de la musique avec ce casque à conduction osseuse, transmettant le son directement via les os de votre crâne. Profitez d'une clarté sonore incomparable sans isoler vos oreilles du monde extérieur.",1250,2051,10,,